"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"FERMT2",0,0.558187757402388,0.738,0.176,0,"0","FERMT2",0.562
"WISP2",0,0.556740833735743,0.438,0.098,0,"0","WISP2",0.34
"NEXN",0,0.555688521826515,0.569,0.076,0,"0","NEXN",0.493
"RPL5",0,0.554364616510552,0.995,0.91,0,"0","RPL5",0.085
"RPS8",0,0.553798883179817,0.996,0.948,0,"0","RPS8",0.048
"RPS3A",0,0.54976960468768,0.996,0.937,0,"0","RPS3A",0.0589999999999999
"YBX3",0,0.548771594031008,0.906,0.435,0,"0","YBX3",0.471
"MAGED2",0,0.547886332322149,0.86,0.381,0,"0","MAGED2",0.479
"NDN",0,0.54718446786332,0.779,0.157,0,"0","NDN",0.622
"CST3",0,0.546039770201898,0.969,0.489,0,"0","CST3",0.48
"FAM198B",0,0.545677191811667,0.719,0.179,0,"0","FAM198B",0.54
"DST",0,0.539633912088214,0.807,0.27,0,"0","DST",0.537
"TUBB6",0,0.539052474029905,0.665,0.181,0,"0","TUBB6",0.484
"SGCE",0,0.538801467745242,0.69,0.127,0,"0","SGCE",0.563
"COPZ2",0,0.536613693816036,0.568,0.081,0,"0","COPZ2",0.487
"NFIA",0,0.536525836757333,0.742,0.237,0,"0","NFIA",0.505
"MMP14",0,0.53588464763544,0.57,0.156,0,"0","MMP14",0.414
"TCEAL1",0,0.534687604283319,0.653,0.172,0,"0","TCEAL1",0.481
"TTC3",0,0.534684281730576,0.937,0.507,0,"0","TTC3",0.43
"FCGRT",0,0.531716907984609,0.929,0.401,0,"0","FCGRT",0.528
"ACTN1",0,0.530378802136736,0.747,0.261,0,"0","ACTN1",0.486
"EMP2",0,0.529134378163073,0.812,0.267,0,"0","EMP2",0.545
"ST13",0,0.52837168604003,0.961,0.59,0,"0","ST13",0.371
"ADAMTS4",0,0.525417200938409,0.327,0.045,0,"0","ADAMTS4",0.282
"RPS4X",0,0.525036416439939,0.998,0.959,0,"0","RPS4X",0.039
"CNN1",0,0.524168127694652,0.328,0.026,0,"0","CNN1",0.302
